workload,region,invocations,weight_bytes,activation_input_bytes,output_bytes,intermediate_bytes,scale_bytes,kv_bytes,read_bytes_resident,write_bytes,read_write_ratio,avoidable_weight_reload,resident_int8_B,resident_bf16_B,lifetime
rdt,repeated_head,5,393216000,41584640,77555200,unavailable,unavailable,unavailable,601139200,387776000,1.55,1572864000,98304000,196608000,across_K
openvla,backbone_once,1,3145728,225792,370688,unavailable,unavailable,unavailable,3371520,370688,9.095,0,786432,1572864,across_replan
openvla,repeated_head,7,3145728,11776,20480,unavailable,unavailable,unavailable,3228160,143360,22.518,18874368,786432,1572864,across_K
tiny_llama,backbone_once,1,614465536,1155072,1274880,unavailable,unavailable,unavailable,615620608,1274880,482.885,0,153616384,307232768,across_replan
tiny_llama,repeated_head,7,614465536,151552,271360,unavailable,unavailable,unavailable,615526400,1899520,324.043,3686793216,153616384,307232768,across_K
rdt2,repeated_head,5,309739520,3038080,3483840,unavailable,unavailable,unavailable,324929920,17419200,18.654,1238958080,77434880,154869760,across_K
groot_n1d7,repeated_head,4,2200436736,40995840,38924288,unavailable,unavailable,unavailable,2364420096,155697152,15.186,6601310208,550109184,1100218368,across_K
molmoact,backbone_once,1,3787456512,3815424,6373376,unavailable,unavailable,unavailable,3791271936,6373376,594.861,0,946864128,1893728256,across_replan
molmoact,repeated_head,8,3787456512,489472,811008,unavailable,unavailable,unavailable,3791372288,6488064,584.361,26512195584,946864128,1893728256,across_K
smolvla,backbone_once,1,701620224,372969600,371230464,unavailable,unavailable,unavailable,1074589824,371230464,2.895,0,175405056,350810112,across_replan
smolvla,repeated_head,10,206126080,12317440,13658240,unavailable,unavailable,unavailable,329300480,136582400,2.411,1855134720,51531520,103063040,across_K
pi05,backbone_once,1,12452184064,2741452800,3438067712,unavailable,unavailable,unavailable,15193636864,3438067712,4.419,0,3113046016,6226092032,across_replan
pi05,repeated_head,10,1719926784,40921344,46754048,unavailable,unavailable,unavailable,2129140224,467540480,4.554,15479341056,429981696,859963392,across_K
xr0,repeated_head,5,169086976,2359808,3694080,unavailable,unavailable,unavailable,180886016,18470400,9.793,676347904,42271744,84543488,across_K
xr0,backbone_once,1,4325376,4224,8192,unavailable,unavailable,unavailable,4329600,8192,528.516,0,1081344,2162688,across_replan
bitvla,backbone_once,1,5767168,525312,528384,unavailable,unavailable,unavailable,6292480,528384,11.909,0,1441792,2883584,across_replan
bitvla,repeated_head,7,5767168,17408,20480,unavailable,unavailable,unavailable,5889024,143360,41.079,34603008,1441792,2883584,across_K
