capsule,dtypes,failure_plane,family,input_elements,kind,l2_cycles,l2_engine,l2_sim_s,l2_status,l2_wall_s,l3_cycles,l3_engine,l3_evidence,l3_sim_s,l3_status,l3_wall_s,max_tensor_elements,numeric_status,operation,required_tiers,shape_regime,shape_signature,status,target
AF0_rmsnorm_bf16_pt,bf16,,normalization,272,model_slice,7308,atlas-arc-arcilator-cosim,22.92465736399754,pass,22.932,7308,gsim,fresh pass,0.02050108300318243,pass,0.036,256,pass,rmsnorm,L0+L1+L2+L3,skewed,16x16 + 1x16,pass,atlas
AF11_k_chain_bf16_pt,bf16,,contraction,768,model_slice,36883,atlas-arc-arcilator-cosim,681.0838490109963,pass,681.255,36883,gsim,fresh pass,1.6686116040000343,pass,6.992,256,pass,k_chain,L0+L1+L2+L3,aligned,16x16 + 16x16 + 16x16,pass,atlas
AF12_gemv_batched_bf16_pt,bf16,,contraction,544,model_slice,7767,atlas-arc-arcilator-cosim,242.5101612360013,pass,242.72,7767,gsim,fresh pass,0.4803676390001783,pass,8.77,512,pass,gemv_batched,L0+L1+L2+L3,GEMV-like,2x16x16 + 2x16x1,pass,atlas
AF1_geglu_bf16_pt,bf16,,elementwise map,1280,model_slice,91342,atlas-arc-arcilator-cosim,860.3155105530022,pass,860.603,91342,gsim,fresh pass,0.6430828320008004,pass,2.702,512,pass,geglu,L0+L1+L2+L3,aligned,16x16 + 16x32 + 16x32,pass,atlas
AF2_softmax_bf16_pt,bf16,,softmax,256,model_slice,4125,atlas-arc-arcilator-cosim,137.98468591399433,pass,138.167,4125,gsim,fresh pass,0.9564167040007305,pass,8.728,256,pass,softmax,L0+L1+L2+L3,aligned,16x16,pass,atlas
AF3_attn_full_bf16_pt,bf16,,attention,3072,model_slice,100736,atlas-arc-arcilator-cosim,885.6587061069949,pass,885.728,100736,gsim,fresh pass,0.4042373390038847,pass,1.541,1024,pass,attention_full,L0+L1+L2+L3,aligned,16x64 + 16x64 + 16x64,pass,atlas
AF4_gelu_bf16_pt,bf16,,elementwise map,256,model_slice,3719,atlas-arc-arcilator-cosim,133.12033633700048,pass,133.343,3719,gsim,fresh pass,0.6633649900031742,pass,11.482,256,pass,gelu,L0+L1+L2+L3,aligned,16x16,pass,atlas
AF5_silu_bf16_pt,bf16,,elementwise map,256,model_slice,4175,atlas-arc-arcilator-cosim,149.73743825699785,pass,149.911,4175,gsim,fresh pass,1.1478973220000626,pass,10.202,256,pass,silu,L0+L1+L2+L3,aligned,16x16,pass,atlas
AF6_add_bf16_pt,bf16,,elementwise map,512,model_slice,5438,atlas-arc-arcilator-cosim,185.06692858300084,pass,185.249,5438,gsim,fresh pass,0.702905076002935,pass,8.385,256,pass,add,L0+L1+L2+L3,aligned,16x16 + 16x16,pass,atlas
AF8_rope_bf16_pt,bf16,,elementwise map,256,model_slice,16531,atlas-arc-arcilator-cosim,477.411223213996,pass,477.59,16531,gsim,fresh pass,1.5571056609987863,pass,10.651,256,pass,rope,L0+L1+L2+L3,aligned,16x16,pass,atlas
