workload,region,resident_f32_B,resident_bf16_B,resident_int8_B,invocations,k_basis
rdt,repeated_head,393216000,196608000,98304000,5,configured/assumed
openvla,backbone_once,3145728,1572864,786432,1,configured/assumed
openvla,repeated_head,3145728,1572864,786432,7,configured/assumed
tiny_llama,backbone_once,614465536,307232768,153616384,1,configured/assumed
tiny_llama,repeated_head,614465536,307232768,153616384,7,configured/assumed
rdt2,repeated_head,309739520,154869760,77434880,5,configured/assumed
groot_n1d7,repeated_head,2200436736,1100218368,550109184,4,configured/assumed
molmoact,backbone_once,3787456512,1893728256,946864128,1,configured/assumed
molmoact,repeated_head,3787456512,1893728256,946864128,8,configured/assumed
smolvla,backbone_once,701620224,350810112,175405056,1,configured/assumed
smolvla,repeated_head,206126080,103063040,51531520,10,configured/assumed
pi05,backbone_once,12452184064,6226092032,3113046016,1,configured/assumed
pi05,repeated_head,1719926784,859963392,429981696,10,configured/assumed
xr0,repeated_head,169086976,84543488,42271744,5,configured/assumed
xr0,backbone_once,4325376,2162688,1081344,1,configured/assumed
bitvla,backbone_once,5767168,2883584,1441792,1,configured/assumed
bitvla,repeated_head,5767168,2883584,1441792,7,configured/assumed
