workload,op_class,shape_id,M,N,K,multiplicity,macs_per_instance,operand_b_identity,dataflow_candidates,legal_spatial_axes,legal_temporal_axes,bypass_candidates,k_reduction_needs_partial_sum,fqn
bitvla,linear_gemm,32x512x256,32,512,256,4,4194304,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,layers.0.mlp.gate_proj
bitvla,linear_gemm,32x256x256,32,256,256,4,2097152,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,layers.0.self_attn.q_proj
bitvla,linear_gemm,32x256x512,32,256,512,2,4194304,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,layers.0.mlp.down_proj
bitvla,linear_gemm,32x128x256,32,128,256,4,1048576,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,layers.0.self_attn.k_proj
bitvla,linear_gemm,1x1024x256,1,1024,256,2,262144,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,lm_head
bitvla,linear_gemm,1x512x256,1,512,256,4,131072,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
bitvla,linear_gemm,1x256x256,1,256,256,4,65536,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
bitvla,linear_gemm,1x256x512,1,256,512,2,131072,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
bitvla,linear_gemm,1x128x256,1,128,256,4,32768,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
groot_n1d7,attention_contraction,41x64x48,41,64,48,8,125952,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,head.model.transformer_blocks.0.attn1
groot_n1d7,attention_contraction,41x48x64,41,48,64,8,125952,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,head.model.transformer_blocks.0.attn1
