workload,captured_dtype,bf16_B,fp8_B,int8_B,fp6_B,int4_B,avoidable_reload_B
rdt,f32,196608000,98304000,98304000,73728000,49152000,1572864000.0
openvla,f32,1572864,786432,786432,589824,393216,18874368.0
tiny_llama,f32,307232768,153616384,153616384,115212288,76808192,3686793216.0
rdt2,f32,154869760,77434880,77434880,58076160,38717440,1238958080.0
groot_n1d7,f32,1100218368,550109184,550109184,412581888,275054592,6601310208.0
molmoact,f32,1893728256,946864128,946864128,710148096,473432064,26512195584.0
smolvla,bf16,206126080,103063040,103063040,77297280,51531520,1855134720.0
pi05,f32,859963392,429981696,429981696,322486272,214990848,15479341056.0
xr0,f32,84543488,42271744,42271744,31703808,21135872,676347904.0
bitvla,f32,2883584,1441792,1441792,1081344,720896,34603008.0
