workload,region,operand,bytes,reuse_scope,resident_candidate,cache_or_scratchpad,k_dependent,evidence
rdt,repeated_head,weight,393216000,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
rdt,repeated_head,activation_in,41584640,within_op,no,cache/streamed,no,data_movement_table.csv
rdt,repeated_head,output,77555200,within_op,no,cache/streamed,no,data_movement_table.csv
openvla,backbone_once,weight,3145728,across_replan,yes,scratchpad/HAL_resident_object,no,data_movement_table.csv
openvla,backbone_once,activation_in,225792,within_op,no,cache/streamed,no,data_movement_table.csv
openvla,backbone_once,output,370688,within_op,no,cache/streamed,no,data_movement_table.csv
openvla,repeated_head,weight,3145728,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
openvla,repeated_head,activation_in,11776,within_op,no,cache/streamed,no,data_movement_table.csv
openvla,repeated_head,output,20480,within_op,no,cache/streamed,no,data_movement_table.csv
tiny_llama,backbone_once,weight,614465536,across_replan,yes,scratchpad/HAL_resident_object,no,data_movement_table.csv
tiny_llama,backbone_once,activation_in,1155072,within_op,no,cache/streamed,no,data_movement_table.csv
tiny_llama,backbone_once,output,1274880,within_op,no,cache/streamed,no,data_movement_table.csv
tiny_llama,repeated_head,weight,614465536,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
tiny_llama,repeated_head,activation_in,151552,within_op,no,cache/streamed,no,data_movement_table.csv
tiny_llama,repeated_head,output,271360,within_op,no,cache/streamed,no,data_movement_table.csv
rdt2,repeated_head,weight,309739520,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
rdt2,repeated_head,activation_in,3038080,within_op,no,cache/streamed,no,data_movement_table.csv
rdt2,repeated_head,output,3483840,within_op,no,cache/streamed,no,data_movement_table.csv
groot_n1d7,repeated_head,weight,2200436736,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
groot_n1d7,repeated_head,activation_in,40995840,within_op,no,cache/streamed,no,data_movement_table.csv
groot_n1d7,repeated_head,output,38924288,within_op,no,cache/streamed,no,data_movement_table.csv
molmoact,backbone_once,weight,3787456512,across_replan,yes,scratchpad/HAL_resident_object,no,data_movement_table.csv
molmoact,backbone_once,activation_in,3815424,within_op,no,cache/streamed,no,data_movement_table.csv
molmoact,backbone_once,output,6373376,within_op,no,cache/streamed,no,data_movement_table.csv
molmoact,repeated_head,weight,3787456512,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
molmoact,repeated_head,activation_in,489472,within_op,no,cache/streamed,no,data_movement_table.csv
molmoact,repeated_head,output,811008,within_op,no,cache/streamed,no,data_movement_table.csv
smolvla,backbone_once,weight,701620224,across_replan,yes,scratchpad/HAL_resident_object,no,data_movement_table.csv
smolvla,backbone_once,activation_in,372969600,within_op,no,cache/streamed,no,data_movement_table.csv
smolvla,backbone_once,output,371230464,within_op,no,cache/streamed,no,data_movement_table.csv
smolvla,repeated_head,weight,206126080,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
smolvla,repeated_head,activation_in,12317440,within_op,no,cache/streamed,no,data_movement_table.csv
smolvla,repeated_head,output,13658240,within_op,no,cache/streamed,no,data_movement_table.csv
pi05,backbone_once,weight,12452184064,across_replan,yes,scratchpad/HAL_resident_object,no,data_movement_table.csv
pi05,backbone_once,activation_in,2741452800,within_op,no,cache/streamed,no,data_movement_table.csv
pi05,backbone_once,output,3438067712,within_op,no,cache/streamed,no,data_movement_table.csv
pi05,repeated_head,weight,1719926784,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
pi05,repeated_head,activation_in,40921344,within_op,no,cache/streamed,no,data_movement_table.csv
pi05,repeated_head,output,46754048,within_op,no,cache/streamed,no,data_movement_table.csv
xr0,repeated_head,weight,169086976,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
xr0,repeated_head,activation_in,2359808,within_op,no,cache/streamed,no,data_movement_table.csv
xr0,repeated_head,output,3694080,within_op,no,cache/streamed,no,data_movement_table.csv
xr0,backbone_once,weight,4325376,across_replan,yes,scratchpad/HAL_resident_object,no,data_movement_table.csv
xr0,backbone_once,activation_in,4224,within_op,no,cache/streamed,no,data_movement_table.csv
xr0,backbone_once,output,8192,within_op,no,cache/streamed,no,data_movement_table.csv
bitvla,backbone_once,weight,5767168,across_replan,yes,scratchpad/HAL_resident_object,no,data_movement_table.csv
bitvla,backbone_once,activation_in,525312,within_op,no,cache/streamed,no,data_movement_table.csv
bitvla,backbone_once,output,528384,within_op,no,cache/streamed,no,data_movement_table.csv
bitvla,repeated_head,weight,5767168,across_K,yes,scratchpad/HAL_resident_object,yes,data_movement_table.csv
bitvla,repeated_head,activation_in,17408,within_op,no,cache/streamed,no,data_movement_table.csv
bitvla,repeated_head,output,20480,within_op,no,cache/streamed,no,data_movement_table.csv
