primitive,primitive_kind,workload,op_count,applicable_ops,macs_total,macs_covered_5,macs_covered_10,macs_covered_25,mac_weighted_utilization,coverage_under_10pct
gemv_lane_128,gemv_lane,bitvla,30,30,39452672,39452672,39452672,39452672,1.0,1.0
gemv_lane_128,gemv_lane,groot_n1d7,116,116,20393361408,20393361408,20393361408,20393361408,1.0,1.0
gemv_lane_128,gemv_lane,molmoact,34,34,8419016704,8419016704,8419016704,8419016704,1.0,1.0
gemv_lane_128,gemv_lane,openvla,30,30,15269888,15269888,15269888,15269888,1.0,1.0
gemv_lane_128,gemv_lane,pi05,777,689,2146035695616,1437549002752,1437549002752,1437549002752,0.999203,0.669863
gemv_lane_128,gemv_lane,rdt,21,19,39466041344,5088739328,5088739328,5088739328,1.0,0.12894
gemv_lane_128,gemv_lane,rdt2,26,25,991854592,989560832,989560832,989560832,1.0,0.997687
gemv_lane_128,gemv_lane,smolvla,302,181,110595843584,11245977600,22141309440,22325629440,0.966944,0.2002
gemv_lane_128,gemv_lane,tiny_llama,30,30,923795456,923795456,923795456,923795456,1.0,1.0
gemv_lane_128,gemv_lane,xr0,19,17,1115879424,1114865664,1114865664,1114865664,1.0,0.999092
gemv_lane_256,gemv_lane,bitvla,30,30,39452672,35127296,35127296,35127296,0.901198,0.890365
gemv_lane_256,gemv_lane,groot_n1d7,116,116,20393361408,20393361408,20393361408,20393361408,1.0,1.0
gemv_lane_256,gemv_lane,molmoact,34,34,8419016704,8419016704,8419016704,8419016704,1.0,1.0
gemv_lane_256,gemv_lane,openvla,30,30,15269888,11141120,11141120,11141120,0.787162,0.729614
gemv_lane_256,gemv_lane,pi05,777,689,2146035695616,1224660287488,1224660287488,1437549002752,0.98304,0.570662
gemv_lane_256,gemv_lane,rdt,21,19,39466041344,5088739328,5088739328,5088739328,1.0,0.12894
gemv_lane_256,gemv_lane,rdt2,26,25,991854592,989560832,989560832,989560832,1.0,0.997687
gemv_lane_256,gemv_lane,smolvla,302,181,110595843584,11245977600,22141309440,22141309440,0.963866,0.2002
gemv_lane_256,gemv_lane,tiny_llama,30,30,923795456,923795456,923795456,923795456,1.0,1.0
gemv_lane_256,gemv_lane,xr0,19,17,1115879424,1114865664,1114865664,1114865664,1.0,0.999092
gemv_lane_64,gemv_lane,bitvla,30,30,39452672,39452672,39452672,39452672,1.0,1.0
gemv_lane_64,gemv_lane,groot_n1d7,116,116,20393361408,20393361408,20393361408,20393361408,1.0,1.0
gemv_lane_64,gemv_lane,molmoact,34,34,8419016704,8419016704,8419016704,8419016704,1.0,1.0
gemv_lane_64,gemv_lane,openvla,30,30,15269888,15269888,15269888,15269888,1.0,1.0
gemv_lane_64,gemv_lane,pi05,777,689,2146035695616,1437549002752,1437549002752,1437549002752,0.999203,0.669863
gemv_lane_64,gemv_lane,rdt,21,19,39466041344,5088739328,5088739328,5088739328,1.0,0.12894
gemv_lane_64,gemv_lane,rdt2,26,25,991854592,989560832,989560832,989560832,1.0,0.997687
gemv_lane_64,gemv_lane,smolvla,302,181,110595843584,20514109440,22325629440,22325629440,0.99462,0.201867
gemv_lane_64,gemv_lane,tiny_llama,30,30,923795456,923795456,923795456,923795456,1.0,1.0
gemv_lane_64,gemv_lane,xr0,19,17,1115879424,1114865664,1114865664,1114865664,1.0,0.999092
tile_16x16,tile,bitvla,30,30,39452672,37748736,37748736,37748736,0.606855,0.956811
tile_16x16,tile,groot_n1d7,116,116,20393361408,3221225472,3221225472,20310392832,0.830499,0.157955
tile_16x16,tile,molmoact,34,34,8419016704,0,0,0,0.277859,0.0
tile_16x16,tile,openvla,30,30,15269888,0,0,0,0.416071,0.0
tile_16x16,tile,pi05,777,777,2146035695616,2130342576128,2130342576128,2130342576128,0.990254,0.992687
tile_16x16,tile,rdt,21,21,39466041344,34661728256,34661728256,39456604160,0.973558,0.878267
tile_16x16,tile,rdt2,26,26,991854592,0,0,895483904,0.554906,0.0
tile_16x16,tile,smolvla,302,302,110595843584,87728062464,87728062464,105686564864,0.967129,0.793231
tile_16x16,tile,tiny_llama,30,30,923795456,0,0,0,0.187927,0.0
tile_16x16,tile,xr0,19,19,1115879424,1073741824,1107195904,1107195904,0.893875,0.992218
tile_16x32,tile,bitvla,30,30,39452672,37748736,37748736,37748736,0.606855,0.956811
tile_16x32,tile,groot_n1d7,116,116,20393361408,3221225472,3221225472,20310392832,0.830499,0.157955
tile_16x32,tile,molmoact,34,34,8419016704,0,0,0,0.277859,0.0
tile_16x32,tile,openvla,30,30,15269888,0,0,0,0.416071,0.0
tile_16x32,tile,pi05,777,777,2146035695616,2130342576128,2130342576128,2130342576128,0.99008,0.992687
tile_16x32,tile,rdt,21,21,39466041344,34661728256,34661728256,39456604160,0.973558,0.878267
tile_16x32,tile,rdt2,26,26,991854592,0,0,895483904,0.554906,0.0
tile_16x32,tile,smolvla,302,302,110595843584,87728062464,87728062464,105686564864,0.966694,0.793231
tile_16x32,tile,tiny_llama,30,30,923795456,0,0,0,0.187927,0.0
tile_16x32,tile,xr0,19,19,1115879424,1073741824,1107195904,1107195904,0.893875,0.992218
tile_32x32,tile,bitvla,30,30,39452672,37748736,37748736,37748736,0.427557,0.956811
tile_32x32,tile,groot_n1d7,116,116,20393361408,3221225472,3221225472,3221225472,0.626486,0.157955
tile_32x32,tile,molmoact,34,34,8419016704,0,0,0,0.138929,0.0
tile_32x32,tile,openvla,30,30,15269888,0,0,0,0.303385,0.0
tile_32x32,tile,pi05,777,777,2146035695616,2130342576128,2130342576128,2130342576128,0.975738,0.992687
tile_32x32,tile,rdt,21,21,39466041344,34661728256,34661728256,34661728256,0.943397,0.878267
tile_32x32,tile,rdt2,26,26,991854592,0,0,895483904,0.400024,0.0
tile_32x32,tile,smolvla,302,302,110595843584,87728062464,87728062464,105686564864,0.96669,0.793231
tile_32x32,tile,tiny_llama,30,30,923795456,0,0,0,0.093963,0.0
tile_32x32,tile,xr0,19,19,1115879424,1073741824,1107195904,1107195904,0.804354,0.992218
tile_8x16,tile,bitvla,30,30,39452672,37748736,37748736,37748736,0.767857,0.956811
tile_8x16,tile,groot_n1d7,116,116,20393361408,3221225472,3221225472,20310392832,0.853571,0.157955
tile_8x16,tile,molmoact,34,34,8419016704,7457472512,7457472512,7457472512,0.555717,0.885789
tile_8x16,tile,openvla,30,30,15269888,0,0,14417920,0.633152,0.0
tile_8x16,tile,pi05,777,777,2146035695616,2130342576128,2130342576128,2145917206528,0.998744,0.992687
tile_8x16,tile,rdt,21,21,39466041344,34661728256,39456604160,39456604160,0.989374,0.999761
tile_8x16,tile,rdt2,26,26,991854592,50823168,50823168,946307072,0.696303,0.051241
tile_8x16,tile,smolvla,302,302,110595843584,87728062464,105686564864,110595812864,0.984846,0.955611
tile_8x16,tile,tiny_llama,30,30,923795456,704643072,704643072,704643072,0.375853,0.76277
tile_8x16,tile,xr0,19,19,1115879424,1073741824,1107195904,1107195904,0.946547,0.992218
tile_8x8,tile,bitvla,30,30,39452672,37748736,37748736,37748736,0.767857,0.956811
tile_8x8,tile,groot_n1d7,116,116,20393361408,3221225472,3221225472,20310392832,0.853571,0.157955
tile_8x8,tile,molmoact,34,34,8419016704,7457472512,7457472512,7457472512,0.555717,0.885789
tile_8x8,tile,openvla,30,30,15269888,0,0,14417920,0.633152,0.0
tile_8x8,tile,pi05,777,777,2146035695616,2130342576128,2130342576128,2145917206528,0.998744,0.992687
tile_8x8,tile,rdt,21,21,39466041344,34661728256,39456604160,39456604160,0.989374,0.999761
tile_8x8,tile,rdt2,26,26,991854592,50823168,50823168,946307072,0.696816,0.051241
tile_8x8,tile,smolvla,302,302,110595843584,87728062464,105686564864,110595812864,0.984846,0.955611
tile_8x8,tile,tiny_llama,30,30,923795456,704643072,704643072,704643072,0.375853,0.76277
tile_8x8,tile,xr0,19,19,1115879424,1073741824,1107195904,1107195904,0.946547,0.992218
