workload,object,producer_region,consumer_regions,lifetime,reload_behavior,required_abstraction,bytes,evidence
rdt,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,393216000,recovered_from_ir
rdt,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,41584640,recovered_from_ir
openvla,backbone_once.weights,backbone_once,backbone_once,across_replan,resident_candidate,resident_weight_object,3145728,recovered_from_ir
openvla,backbone_once.activations,backbone_once,backbone_once,within_region,reload_each_invocation,resident_activation_object,225792,recovered_from_ir
openvla,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,3145728,recovered_from_ir
openvla,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,11776,recovered_from_ir
tiny_llama,backbone_once.weights,backbone_once,backbone_once,across_replan,resident_candidate,resident_weight_object,614465536,recovered_from_ir
tiny_llama,backbone_once.activations,backbone_once,backbone_once,within_region,reload_each_invocation,resident_activation_object,1155072,recovered_from_ir
tiny_llama,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,614465536,recovered_from_ir
tiny_llama,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,151552,recovered_from_ir
rdt2,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,309739520,recovered_from_ir
rdt2,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,3038080,recovered_from_ir
groot_n1d7,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,2200436736,recovered_from_ir
groot_n1d7,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,40995840,recovered_from_ir
molmoact,backbone_once.weights,backbone_once,backbone_once,across_replan,resident_candidate,resident_weight_object,3787456512,recovered_from_ir
molmoact,backbone_once.activations,backbone_once,backbone_once,within_region,reload_each_invocation,resident_activation_object,3815424,recovered_from_ir
molmoact,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,3787456512,recovered_from_ir
molmoact,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,489472,recovered_from_ir
smolvla,backbone_once.weights,backbone_once,backbone_once,across_replan,resident_candidate,resident_weight_object,701620224,recovered_from_ir
smolvla,backbone_once.activations,backbone_once,backbone_once,within_region,reload_each_invocation,resident_activation_object,372969600,recovered_from_ir
smolvla,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,206126080,recovered_from_ir
smolvla,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,12317440,recovered_from_ir
pi05,backbone_once.weights,backbone_once,backbone_once,across_replan,resident_candidate,resident_weight_object,12452184064,recovered_from_ir
pi05,backbone_once.activations,backbone_once,backbone_once,within_region,reload_each_invocation,resident_activation_object,2741452800,recovered_from_ir
pi05,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,1719926784,recovered_from_ir
pi05,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,40921344,recovered_from_ir
xr0,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,169086976,recovered_from_ir
xr0,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,2359808,recovered_from_ir
xr0,backbone_once.weights,backbone_once,backbone_once,across_replan,resident_candidate,resident_weight_object,4325376,recovered_from_ir
xr0,backbone_once.activations,backbone_once,backbone_once,within_region,reload_each_invocation,resident_activation_object,4224,recovered_from_ir
bitvla,backbone_once.weights,backbone_once,backbone_once,across_replan,resident_candidate,resident_weight_object,5767168,recovered_from_ir
bitvla,backbone_once.activations,backbone_once,backbone_once,within_region,reload_each_invocation,resident_activation_object,525312,recovered_from_ir
bitvla,repeated_head.weights,repeated_head,repeated_head,across_K,load_once_reuse_K,resident_weight_object,5767168,recovered_from_ir
bitvla,repeated_head.activations,repeated_head,repeated_head,within_region,reload_each_invocation,resident_activation_object,17408,recovered_from_ir
