workload,region_role,shape_class,op_count,macs_total
rdt,repeated_head,gemv_like,4,9437184
rdt,repeated_head,squareish_gemm,2,34377302016
rdt,repeated_head,wide_skinny,15,5079302144
openvla,backbone_once,gemv_like,1,65536
openvla,backbone_once,wide_skinny,14,14417920
openvla,repeated_head,gemv_like,15,786432
tiny_llama,backbone_once,gemv_like,1,65536000
tiny_llama,backbone_once,wide_skinny,14,704643072
tiny_llama,repeated_head,gemv_like,15,153616384
rdt2,repeated_head,gemv_like,5,43253760
rdt2,repeated_head,projection_like,1,2293760
rdt2,repeated_head,wide_skinny,20,946307072
groot_n1d7,repeated_head,gemv_like,19,82968576
groot_n1d7,repeated_head,wide_skinny,97,20310392832
molmoact,backbone_once,gemv_like,1,14680064
molmoact,backbone_once,wide_skinny,16,7457472512
molmoact,repeated_head,gemv_like,17,946864128
smolvla,backbone_once,gemv_like,1,30720
smolvla,backbone_once,projection_like,32,1110835200
smolvla,backbone_once,squareish_gemm,60,57982058496
smolvla,backbone_once,unknown,12,28991029248
smolvla,backbone_once,wide_skinny,81,17417502720
smolvla,repeated_head,projection_like,16,185139200
smolvla,repeated_head,squareish_gemm,1,1152000
smolvla,repeated_head,wide_skinny,99,4908096000
pi05,backbone_once,projection_like,87,708485054464
pi05,backbone_once,wide_skinny,523,1421857521664
pi05,repeated_head,gemv_like,39,118489088
pi05,repeated_head,squareish_gemm,1,1638400
pi05,repeated_head,wide_skinny,127,15572992000
xr0,backbone_once,gemv_like,2,1081344
xr0,repeated_head,gemv_like,3,7602176
xr0,repeated_head,projection_like,2,1013760
xr0,repeated_head,wide_skinny,12,1106182144
bitvla,backbone_once,gemv_like,1,262144
bitvla,backbone_once,wide_skinny,14,37748736
bitvla,repeated_head,gemv_like,15,1441792
