workload,shape_class,op_count,macs_total,mac_fraction
rdt,gemv_like,4,9437184,0.0002
rdt,squareish_gemm,2,34377302016,0.8711
rdt,wide_skinny,15,5079302144,0.1287
openvla,gemv_like,16,851968,0.0558
openvla,wide_skinny,14,14417920,0.9442
tiny_llama,gemv_like,16,219152384,0.2372
tiny_llama,wide_skinny,14,704643072,0.7628
rdt2,gemv_like,5,43253760,0.0436
rdt2,projection_like,1,2293760,0.0023
rdt2,wide_skinny,20,946307072,0.9541
groot_n1d7,gemv_like,19,82968576,0.0041
groot_n1d7,wide_skinny,97,20310392832,0.9959
molmoact,gemv_like,18,961544192,0.1142
molmoact,wide_skinny,16,7457472512,0.8858
smolvla,gemv_like,1,30720,0.0
smolvla,projection_like,48,1295974400,0.0117
smolvla,squareish_gemm,61,57983210496,0.5243
smolvla,unknown,12,28991029248,0.2621
smolvla,wide_skinny,180,22325598720,0.2019
pi05,gemv_like,39,118489088,0.0001
pi05,projection_like,87,708485054464,0.3301
pi05,squareish_gemm,1,1638400,0.0
pi05,wide_skinny,650,1437430513664,0.6698
xr0,gemv_like,5,8683520,0.0078
xr0,projection_like,2,1013760,0.0009
xr0,wide_skinny,12,1106182144,0.9913
bitvla,gemv_like,16,1703936,0.0432
bitvla,wide_skinny,14,37748736,0.9568
