workload,loop_preserved,K,K_source,n_iter_args,loop_carried_roles,kv_cache_bytes,repeated_region_op_count,flat_view,recovered_view,evidence
bitvla,True,7,recovered_from_ir,5,"counter,counter,token_buffer,kv_cache,kv_cache",79872,772,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,7,1); 5 iter_args carried (counter,counter,token_buffer,kv_cache,kv_cache); repeated region = 772 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
groot_n1d7,True,4,recovered_from_ir,2,"counter,latent",n/a,5339,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,4,1); 2 iter_args carried (counter,latent); repeated region = 5339 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
molmoact,True,8,recovered_from_ir,5,"counter,counter,token_buffer,kv_cache,kv_cache",262144,1290,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,8,1); 5 iter_args carried (counter,counter,token_buffer,kv_cache,kv_cache); repeated region = 1290 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
openvla,True,7,recovered_from_ir,5,"counter,counter,token_buffer,kv_cache,kv_cache",221184,627,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,7,1); 5 iter_args carried (counter,counter,token_buffer,kv_cache,kv_cache); repeated region = 627 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
pi05,True,10,recovered_from_ir,2,"counter,latent",n/a,6542,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,10,1); 2 iter_args carried (counter,latent); repeated region = 6542 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
rdt,True,5,recovered_from_ir,3,"counter,latent,latent",n/a,683,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,5,1); 3 iter_args carried (counter,latent,latent); repeated region = 683 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
rdt2,True,5,recovered_from_ir,2,"counter,latent",n/a,1207,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,5,1); 2 iter_args carried (counter,latent); repeated region = 1207 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
small_llama,True,7,recovered_from_ir,5,"counter,counter,token_buffer,kv_cache,kv_cache",30720,557,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,7,1); 5 iter_args carried (counter,counter,token_buffer,kv_cache,kv_cache); repeated region = 557 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
smolvla,True,10,recovered_from_ir,2,"counter,latent",n/a,5411,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,10,1); 2 iter_args carried (counter,latent); repeated region = 5411 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
tiny_llama,True,7,recovered_from_ir,5,"counter,counter,token_buffer,kv_cache,kv_cache",61440,784,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,7,1); 5 iter_args carried (counter,counter,token_buffer,kv_cache,kv_cache); repeated region = 784 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
xr0,True,5,recovered_from_ir,2,"counter,latent",n/a,883,loop unrolled by torch.export; K assumed (config); KV/latent erased,"scf.for(0,5,1); 2 iter_args carried (counter,latent); repeated region = 883 ops","recovered_from_ir (scf.for, prov.op=while_loop)"
