workload,op_class,region_role,M,N,K,layers_in_capture,outer_loop_K,K_source,instances_per_replan,macs_per_instance,macs_per_replan,operand_b_identity,dataflow_candidates,reduction_reuse_scope,kv_state_bytes_workload,k_reduction_needs_partial_sum,evidence
bitvla,linear_gemm,backbone_once,32,512,256,4,1,not_repeated,4,4194304,16777216,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
bitvla,linear_gemm,backbone_once,32,256,512,2,1,not_repeated,2,4194304,8388608,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
bitvla,linear_gemm,backbone_once,32,256,256,4,1,not_repeated,4,2097152,8388608,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
bitvla,linear_gemm,backbone_once,32,128,256,4,1,not_repeated,4,1048576,4194304,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
bitvla,linear_gemm,backbone_once,1,1024,256,1,1,not_repeated,1,262144,262144,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
bitvla,linear_gemm,repeated_head,1,1024,256,1,7,recovered_from_ir,7,262144,1835008,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
bitvla,linear_gemm,repeated_head,1,512,256,4,7,recovered_from_ir,28,131072,3670016,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
bitvla,linear_gemm,repeated_head,1,256,512,2,7,recovered_from_ir,14,131072,1835008,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
bitvla,linear_gemm,repeated_head,1,256,256,4,7,recovered_from_ir,28,65536,1835008,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
bitvla,linear_gemm,repeated_head,1,128,256,4,7,recovered_from_ir,28,32768,917504,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),79872,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
groot_n1d7,linear_gemm,repeated_head,41,6144,1536,16,4,recovered_from_ir,64,386924544,24763170816,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
groot_n1d7,linear_gemm,repeated_head,41,1536,6144,16,4,recovered_from_ir,64,386924544,24763170816,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
groot_n1d7,linear_gemm,repeated_head,64,1536,2048,16,4,recovered_from_ir,64,201326592,12884901888,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
groot_n1d7,linear_gemm,repeated_head,41,1536,1536,48,4,recovered_from_ir,192,96731136,18572378112,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
groot_n1d7,linear_gemm,repeated_head,41,1024,1536,1,4,recovered_from_ir,4,64487424,257949696,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
groot_n1d7,linear_gemm,repeated_head,1,3072,1536,17,4,recovered_from_ir,68,4718592,320864256,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
groot_n1d7,linear_gemm,repeated_head,1,1536,1536,1,4,recovered_from_ir,4,2359296,9437184,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
groot_n1d7,linear_gemm,repeated_head,1,1536,256,1,4,recovered_from_ir,4,393216,1572864,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,backbone_once,8,37888,3584,4,1,not_repeated,4,1086324736,4345298944,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,backbone_once,8,3584,18944,4,1,not_repeated,4,543162368,2172649472,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,backbone_once,8,4608,3584,4,1,not_repeated,4,132120576,528482304,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,backbone_once,8,3584,3584,4,1,not_repeated,4,102760448,411041792,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,backbone_once,1,4096,3584,1,1,not_repeated,1,14680064,14680064,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,repeated_head,1,37888,3584,4,8,recovered_from_ir,32,135790592,4345298944,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,repeated_head,1,3584,18944,4,8,recovered_from_ir,32,67895296,2172649472,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,repeated_head,1,4608,3584,4,8,recovered_from_ir,32,16515072,528482304,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,repeated_head,1,4096,3584,1,8,recovered_from_ir,8,14680064,117440512,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
molmoact,linear_gemm,repeated_head,1,3584,3584,4,8,recovered_from_ir,32,12845056,411041792,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),262144,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,backbone_once,20,512,128,6,1,not_repeated,6,1310720,7864320,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,backbone_once,20,128,512,2,1,not_repeated,2,1310720,2621440,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,backbone_once,20,256,128,4,1,not_repeated,4,655360,2621440,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,backbone_once,20,128,256,2,1,not_repeated,2,655360,1310720,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,backbone_once,1,512,128,1,1,not_repeated,1,65536,65536,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,repeated_head,1,512,128,7,7,recovered_from_ir,49,65536,3211264,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,repeated_head,1,128,512,2,7,recovered_from_ir,14,65536,917504,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,repeated_head,1,256,128,4,7,recovered_from_ir,28,32768,917504,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,repeated_head,1,128,256,2,7,recovered_from_ir,14,32768,458752,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,968,16384,2048,34,1,not_repeated,34,32480690176,1104343465984,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,968,2048,16384,17,1,not_repeated,17,32480690176,552171732992,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,968,2048,2048,34,1,not_repeated,34,4060086272,138042933248,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,256,4304,1152,81,1,not_repeated,81,1269301248,102813401088,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,256,1152,4304,81,1,not_repeated,81,1269301248,102813401088,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,256,2048,1152,3,1,not_repeated,3,603979776,1811939328,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
