workload,phase,phase_class,cadence,invocations,period_s,candidate_resource_class,evidence
rdt,backbone,backbone_or_encoder,once_per_replan,1,2.133333,unavailable,recovered_from_prov_fqn
rdt,head,repeated_action_head,K_times_per_replan,5,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
openvla,backbone,backbone_or_encoder,once_per_replan,1,1.4,skinny_gemm_or_gemv,recovered_from_prov_fqn
openvla,head,decoder_token_step,token_loop,7,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
tiny_llama,backbone,backbone_or_encoder,once_per_replan,1,0.233333,skinny_gemm_or_gemv,recovered_from_prov_fqn
tiny_llama,head,decoder_token_step,token_loop,7,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
rdt2,backbone,backbone_or_encoder,once_per_replan,1,2.133333,unavailable,recovered_from_prov_fqn
rdt2,head,repeated_action_head,K_times_per_replan,5,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
groot_n1d7,backbone,backbone_or_encoder,once_per_replan,1,0.533333,unavailable,recovered_from_prov_fqn
groot_n1d7,head,repeated_action_head,K_times_per_replan,4,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
molmoact,backbone,backbone_or_encoder,once_per_replan,1,1.6,skinny_gemm_or_gemv,recovered_from_prov_fqn
molmoact,head,decoder_token_step,token_loop,8,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
smolvla,backbone,backbone_or_encoder,once_per_replan,1,1.666667,dense_gemm,recovered_from_prov_fqn
smolvla,head,repeated_action_head,K_times_per_replan,10,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
pi05,backbone,backbone_or_encoder,once_per_replan,1,1.0,skinny_gemm_or_gemv,recovered_from_prov_fqn
pi05,head,repeated_action_head,K_times_per_replan,10,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
xr0,backbone,backbone_or_encoder,once_per_replan,1,0.166667,skinny_gemm_or_gemv,recovered_from_prov_fqn
xr0,head,repeated_action_head,K_times_per_replan,5,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
bitvla,backbone,backbone_or_encoder,once_per_replan,1,1.4,skinny_gemm_or_gemv,recovered_from_prov_fqn
bitvla,head,decoder_token_step,token_loop,7,unavailable,skinny_gemm_or_gemv,recovered_from_prov_fqn
