workload,loop_preserved,K,n_loop_invariant_operands,n_loop_carried_iter_args,n_body_defs,resident_proof,evidence
bitvla,True,7,369,5,748,369 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=7 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
groot_n1d7,True,4,2459,2,5109,2459 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=4 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
molmoact,True,8,572,5,1262,572 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=8 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
openvla,True,7,276,5,603,276 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=7 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
pi05,True,10,2674,2,6210,2674 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=10 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
rdt,True,5,324,3,644,324 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=5 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
rdt2,True,5,581,2,1157,581 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=5 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
small_llama,True,7,297,5,563,297 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=7 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
smolvla,True,10,2437,2,5189,2437 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=10 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
tiny_llama,True,7,327,5,760,327 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=7 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
xr0,True,5,476,2,851,476 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=5 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
