workload,n_linear_matmul,linear_gemm_macs,n_attention_ops,attention_macs,n_batched_matmul,batched_matmul_macs,total_recovered_macs,visible_linear_fraction,n_softmax,n_normalization,n_conv,n_activation,n_elementwise,n_reduction,n_layout,n_other
rdt,21,39466041344,25,2416956928,0,0,41882998272,0.9423,0,0,0,7,29,0,3,23
openvla,30,15269888,0,0,0,0,15269888,1.0,12,0,0,4,116,10,1,29
tiny_llama,30,923795456,0,0,10,1106208,924901664,0.9988,12,0,0,4,120,10,34,27
rdt2,26,991854592,0,0,0,0,991854592,1.0,12,0,0,10,115,13,10,12
groot_n1d7,116,20393361408,32,105799680,7,341467136,20840628224,0.9785,48,240,0,37,158,0,82,149
molmoact,34,8419016704,0,0,18,4129344,8423146048,0.9995,24,0,0,8,215,18,62,39
smolvla,302,110595843584,84,483485810688,0,0,594081654272,0.1862,96,225,2,45,1025,69,68,574
pi05,777,2146035695616,232,81230200832,2,130304,2227266026752,0.9635,348,1485,6,118,1245,73,550,551
xr0,19,1115879424,14,8699904,0,0,1124579328,0.9923,0,0,0,7,111,12,1,5
bitvla,30,39452672,0,0,0,0,39452672,1.0,12,0,0,0,324,32,8,68
